"concept_id","concept_name","concept_code","vocabulary_id"
45543338,"Acute and subacute hepatic failure with coma","K72.01","ICD10CM"
1569678,"Chronic hepatic failure","K72.1","ICD10CM"
45543339,"Chronic hepatic failure without coma","K72.10","ICD10CM"
35208356,"Autoimmune hepatitis","K75.4","ICD10CM"
35208357,"Other specified inflammatory liver diseases","K75.8","ICD10CM"
45533616,"Nonalcoholic steatohepatitis (NASH)","K75.81","ICD10CM"
45755466,"Hepatic failure, not elsewhere classified","K72","ICD10"
45557674,"Acute and subacute hepatic failure","K72.0","ICD10"
45562512,"Liver disorders in other diseases classified elsewhere","K77.8","ICD10"
45586732,"Hepatic fibrosis","K74.0","ICD10"
45572229,"Hepatic sclerosis","K74.1","ICD10"
45591605,"Alcoholic liver disease","K70","ICD10"
45567323,"Alcoholic fatty liver","K70.0","ICD10"
45557668,"Alcoholic hepatitis","K70.1","ICD10"
45557669,"Alcoholic fibrosis and sclerosis of liver","K70.2","ICD10"
45596343,"Alcoholic cirrhosis of liver","K70.3","ICD10"
45586729,"Alcoholic hepatic failure","K70.4","ICD10"
45605953,"Alcoholic liver disease, unspecified","K70.9","ICD10"
45557670,"Toxic liver disease","K71","ICD10"
45543333,"Toxic liver disease with cholestasis","K71.0","ICD10"
45557671,"Toxic liver disease with hepatic necrosis","K71.1","ICD10"
45605954,"Toxic liver disease with acute hepatitis","K71.2","ICD10"
45591606,"Toxic liver disease with chronic persistent hepatitis","K71.3","ICD10"
45543334,"Toxic liver disease with chronic lobular hepatitis","K71.4","ICD10"
45572225,"Toxic liver disease with chronic active hepatitis","K71.5","ICD10"
45543336,"Toxic liver disease with hepatitis, not elsewhere classified","K71.6","ICD10"
45543337,"Toxic liver disease with fibrosis and cirrhosis of liver","K71.7","ICD10"
45581911,"Toxic liver disease with other disorders of liver","K71.8","ICD10"
45557673,"Toxic liver disease, unspecified","K71.9","ICD10"
45601186,"Chronic hepatic failure","K72.1","ICD10"
45533613,"Hepatic failure, unspecified","K72.9","ICD10"
45596344,"Chronic hepatitis, not elsewhere classified","K73","ICD10"
45572227,"Chronic persistent hepatitis, not elsewhere classified","K73.0","ICD10"
45572228,"Chronic lobular hepatitis, not elsewhere classified","K73.1","ICD10"
45543340,"Chronic active hepatitis, not elsewhere classified","K73.2","ICD10"
45567325,"Other chronic hepatitis, not elsewhere classified","K73.8","ICD10"
45552949,"Chronic hepatitis, unspecified","K73.9","ICD10"
45755467,"Fibrosis and cirrhosis of liver","K74","ICD10"
45533614,"Hepatic fibrosis with hepatic sclerosis","K74.2","ICD10"
45557676,"Primary biliary cirrhosis","K74.3","ICD10"
45586733,"Secondary biliary cirrhosis","K74.4","ICD10"
45533615,"Biliary cirrhosis, unspecified","K74.5","ICD10"
45538546,"Other and unspecified cirrhosis of liver","K74.6","ICD10"
45572230,"Other inflammatory liver diseases","K75","ICD10"
45562508,"Abscess of liver","K75.0","ICD10"
45581913,"Phlebitis of portal vein","K75.1","ICD10"
45605955,"Nonspecific reactive hepatitis","K75.2","ICD10"
45586734,"Granulomatous hepatitis, not elsewhere classified","K75.3","ICD10"
45601188,"Autoimmune hepatitis","K75.4","ICD10"
45572231,"Other specified inflammatory liver diseases","K75.8","ICD10"
45562509,"Inflammatory liver disease, unspecified","K75.9","ICD10"
45605956,"Other diseases of liver","K76","ICD10"
45601189,"Fatty (change of) liver, not elsewhere classified","K76.0","ICD10"
45601190,"Chronic passive congestion of liver","K76.1","ICD10"
45562510,"Central haemorrhagic necrosis of liver","K76.2","ICD10"
