"concept_id","concept_name","concept_code","vocabulary_id"
4031812,"3-Beta-hydroxy-delta-5-C27-steroid dehydrogenase deficiency","238033007","SNOMED"
4100865,"Abnormal connection of hepatic vein to atrium","253333008","SNOMED"
4108896,"Abnormal liver lobulation","253811003","SNOMED"
40488972,"Abnormality of hepatic vein","448281007","SNOMED"
201901,"Abscess of liver","27916005","SNOMED"
4332942,"Accelerated rejection of liver transplant","432777003","SNOMED"
4216564,"Accessory liver","71728002","SNOMED"
196438,"Acquired arteriovenous fistula of liver","70668000","SNOMED"
606453,"Acquired paucity of intrahepatic bile ducts","1145027009","SNOMED"
607765,"Acquired porphyria cutanea tarda","1155910005","SNOMED"
201343,"Acute alcoholic liver disease","9953008","SNOMED"
201065,"Acute and subacute liver necrosis","197268000","SNOMED"
4157033,"Acute cholangiohepatitis","370490006","SNOMED"
37396531,"Acute fatty liver of pregnancy","716379000","SNOMED"
4048523,"Acute focal hepatitis","123603008","SNOMED"
4078071,"Acute fulminating type A viral hepatitis","18917003","SNOMED"
4027854,"Acute fulminating type B viral hepatitis","13265006","SNOMED"
4260842,"Acute fulminating viral hepatitis","45042004","SNOMED"
4026032,"Acute hepatic failure","197270009","SNOMED"
36716708,"Acute hepatic failure caused by hepatitis virus","722864002","SNOMED"
4184847,"Acute hepatic failure due to drugs","413438002","SNOMED"
4243475,"Acute hepatitis","37871000","SNOMED"
4055207,"Acute hepatitis - non-infective","197271008","SNOMED"
439673,"Acute hepatitis B with delta-agent (coinfection) without hepatic coma","186626002","SNOMED"
4341652,"Acute hepatitis B with hepatitis D","235864009","SNOMED"
192242,"Acute hepatitis C","235866006","SNOMED"
197490,"Acute hepatitis E","235867002","SNOMED"
36715006,"Acute infantile liver failure due to synthesis defect of mitochondrial deoxyribonucleic acid encoded protein","720461006","SNOMED"
36676901,"Acute infantile liver failure with multisystemic involvement syndrome","774207004","SNOMED"
37162423,"Acute infantile liver failure, cerebellar ataxia, peripheral sensory motor neuropathy syndrome","1187643003","SNOMED"
36676304,"Acute infectious hepatitis","773113008","SNOMED"
45768686,"Acute multi-acinar necrosis of liver","707167006","SNOMED"
4058676,"Acute necrosis of liver","197269008","SNOMED"
37167450,"Acute necrosis of liver following ectopic pregnancy","1264435003","SNOMED"
37167419,"Acute necrosis of liver following molar pregnancy","1264304005","SNOMED"
37017151,"Acute on chronic alcoholic liver disease","713370005","SNOMED"
37162877,"Acute passive congestion of liver","1197720000","SNOMED"
4250743,"Acute red atrophy of liver","40912001","SNOMED"
4331678,"Acute rejection of liver transplant","431222008","SNOMED"
4169242,"Acute toxic hepatitis","4896000","SNOMED"
4098652,"Acute type A viral hepatitis","25102003","SNOMED"
