hd_domain,cssr_category_1,cssr_category_1_description,self_selected_category,icd10cm_code,icd10cm_code_description,exclude,Number_of_Paper_Support (out of 9 studies),symptomatic,measured,syndromic,systemic,clincian_interest,cluster_category,notes,concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,partition_0
"Mental, Behavioral and Neurodevelopmental Disorders",MBD007,Trauma- and stressor-related disorders,Pain,F454,Pain disorders related to psychological factors,NA,0,NA,NA,0,1,agnostic,Mental health,NA,1568238,Pain disorders related to psychological factors,Condition,ICD10CM,4-char nonbill code,NA,F45.4,2012-01-01,2099-12-31,NA,1
Diseases of the Nervous System,NVS017,Nerve and nerve root disorders,Pain,G501,Atypical facial pain,NA,2,1,NA,0,1,agnostic,Neurodevelopment,NA,35207412,Atypical facial pain,Condition,ICD10CM,4-char billing code,NA,G50.1,2007-01-01,2099-12-31,NA,1
Diseases of the Nervous System,NVS017,Nerve and nerve root disorders,Pain,G546,Phantom limb syndrome with pain,NA,2,NA,1,0,1,agnostic,Neurodevelopment,NA,35207436,Phantom limb syndrome with pain,Condition,ICD10CM,4-char billing code,NA,G54.6,2007-01-01,2099-12-31,NA,1
Diseases of the Nervous System,NVS017,Nerve and nerve root disorders,Pain,G547,Phantom limb syndrome without pain,NA,2,NA,1,0,1,agnostic,Neurodevelopment,NA,35207437,Phantom limb syndrome without pain,Condition,ICD10CM,4-char billing code,NA,G54.7,2007-01-01,2099-12-31,NA,1
Diseases of the Nervous System,NVS019,Nervous system pain and pain syndromes,Pain,G890,Central pain syndrome,NA,2,NA,NA,0,1,agnostic,Neurodevelopment,NA,45566906,Central pain syndrome,Condition,ICD10CM,4-char billing code,NA,G89.0,1970-01-01,2099-12-31,NA,1
Diseases of the Nervous System,NVS019,Nervous system pain and pain syndromes,Pain,G8911,Acute pain due to trauma,NA,2,NA,NA,0,1,agnostic,Neurodevelopment,NA,45542911,Acute pain due to trauma,Condition,ICD10CM,5-char billing code,NA,G89.11,1970-01-01,2099-12-31,NA,1
Diseases of the Nervous System,NVS019,Nervous system pain and pain syndromes,Pain,G8912,Acute post-thoracotomy pain,NA,2,NA,NA,0,1,agnostic,Neurodevelopment,NA,45552551,Acute post-thoracotomy pain,Condition,ICD10CM,5-char billing code,NA,G89.12,1970-01-01,2099-12-31,NA,1
Diseases of the Nervous System,NVS019,Nervous system pain and pain syndromes,Pain,G8918,Other acute postprocedural pain,NA,2,NA,NA,0,1,agnostic,Neurodevelopment,NA,45538143,Other acute postprocedural pain,Condition,ICD10CM,5-char billing code,NA,G89.18,1970-01-01,2099-12-31,NA,1
Diseases of the Nervous System,NVS019,Nervous system pain and pain syndromes,Pain,G8921,Chronic pain due to trauma,NA,2,NA,NA,0,1,agnostic,Neurodevelopment,NA,45547763,Chronic pain due to trauma,Condition,ICD10CM,5-char billing code,NA,G89.21,1970-01-01,2099-12-31,NA,1
Diseases of the Nervous System,NVS019,Nervous system pain and pain syndromes,Pain,G8922,Chronic post-thoracotomy pain,NA,2,NA,NA,0,1,agnostic,Neurodevelopment,NA,45566907,Chronic post-thoracotomy pain,Condition,ICD10CM,5-char billing code,NA,G89.22,1970-01-01,2099-12-31,NA,1
Diseases of the Nervous System,NVS019,Nervous system pain and pain syndromes,Pain,G8928,Other chronic postprocedural pain,NA,2,NA,NA,0,1,agnostic,Neurodevelopment,NA,45581519,Other chronic postprocedural pain,Condition,ICD10CM,5-char billing code,NA,G89.28,1970-01-01,2099-12-31,NA,1
Diseases of the Nervous System,NVS019,Nervous system pain and pain syndromes,Pain,G8929,Other chronic pain,NA,2,NA,NA,0,1,agnostic,Neurodevelopment,NA,45542912,Other chronic pain,Condition,ICD10CM,5-char billing code,NA,G89.29,2006-12-30,2099-12-31,NA,1
Diseases of the Nervous System,NVS019,Nervous system pain and pain syndromes,Pain,G894,Chronic pain syndrome,NA,2,NA,NA,0,1,agnostic,Neurodevelopment,NA,45562109,Chronic pain syndrome,Condition,ICD10CM,4-char billing code,NA,G89.4,1970-01-01,2099-12-31,NA,1
Diseases of the Nervous System,NVS019,Nervous system pain and pain syndromes,Pain,G902,Horners syndrome,NA,1,NA,NA,0,1,clinician,Neurodevelopment,NA,35207490,Horner's syndrome,Condition,ICD10CM,4-char billing code,NA,G90.2,2007-01-01,2099-12-31,NA,1
Diseases of the Nervous System,NVS019,Nervous system pain and pain syndromes,Pain,G905,Complex regional pain syndrome I (CRPS I),NA,0,NA,NA,0,1,clinician,Neurodevelopment,NA,1568425,Complex regional pain syndrome I (CRPS I),Condition,ICD10CM,4-char nonbill code,NA,G90.5,2012-01-01,2099-12-31,NA,1
Diseases of the Nervous System,NVS019,Nervous system pain and pain syndromes,Pain,G9050,"Complex regional pain syndrome I, unspecified",NA,1,NA,NA,0,1,clinician,Neurodevelopment,NA,45562110,"Complex regional pain syndrome I, unspecified",Condition,ICD10CM,5-char billing code,NA,G90.50,1970-01-01,2099-12-31,NA,1
Diseases of the Nervous System,NVS019,Nervous system pain and pain syndromes,Pain,G9051,Complex regional pain syndrome I of upper limb,NA,0,NA,NA,0,1,clinician,Neurodevelopment,NA,1568426,Complex regional pain syndrome I of upper limb,Condition,ICD10CM,5-char nonbill code,NA,G90.51,2012-01-01,2099-12-31,NA,1
Diseases of the Nervous System,NVS019,Nervous system pain and pain syndromes,Pain,G90511,Complex regional pain syndrome I of right upper limb,NA,1,NA,NA,0,1,clinician,Neurodevelopment,NA,45591202,Complex regional pain syndrome I of right upper limb,Condition,ICD10CM,6-char billing code,NA,G90.511,1970-01-01,2099-12-31,NA,1
Diseases of the Nervous System,NVS019,Nervous system pain and pain syndromes,Pain,G90512,Complex regional pain syndrome I of left upper limb,NA,1,NA,NA,0,1,clinician,Neurodevelopment,NA,45538144,Complex regional pain syndrome I of left upper limb,Condition,ICD10CM,6-char billing code,NA,G90.512,1970-01-01,2099-12-31,NA,1
Diseases of the Nervous System,NVS019,Nervous system pain and pain syndromes,Pain,G90513,"Complex regional pain syndrome I of upper limb, bilateral",NA,1,NA,NA,0,1,clinician,Neurodevelopment,NA,45552552,"Complex regional pain syndrome I of upper limb, bilateral",Condition,ICD10CM,6-char billing code,NA,G90.513,1970-01-01,2099-12-31,NA,1
Diseases of the Nervous System,NVS019,Nervous system pain and pain syndromes,Pain,G90519,Complex regional pain syndrome I of unspecified upper limb,NA,1,NA,NA,0,1,clinician,Neurodevelopment,NA,45547764,Complex regional pain syndrome I of unspecified upper limb,Condition,ICD10CM,6-char billing code,NA,G90.519,1970-01-01,2099-12-31,NA,1
Diseases of the Nervous System,NVS019,Nervous system pain and pain syndromes,Pain,G9052,Complex regional pain syndrome I of lower limb,NA,0,NA,NA,0,1,clinician,Neurodevelopment,NA,1568427,Complex regional pain syndrome I of lower limb,Condition,ICD10CM,5-char nonbill code,NA,G90.52,2012-01-01,2099-12-31,NA,1
Diseases of the Nervous System,NVS019,Nervous system pain and pain syndromes,Pain,G90521,Complex regional pain syndrome I of right lower limb,NA,1,NA,NA,0,1,clinician,Neurodevelopment,NA,45566909,Complex regional pain syndrome I of right lower limb,Condition,ICD10CM,6-char billing code,NA,G90.521,1970-01-01,2099-12-31,NA,1
Diseases of the Nervous System,NVS019,Nervous system pain and pain syndromes,Pain,G90522,Complex regional pain syndrome I of left lower limb,NA,1,NA,NA,0,1,clinician,Neurodevelopment,NA,45542913,Complex regional pain syndrome I of left lower limb,Condition,ICD10CM,6-char billing code,NA,G90.522,1970-01-01,2099-12-31,NA,1
Diseases of the Nervous System,NVS019,Nervous system pain and pain syndromes,Pain,G90523,"Complex regional pain syndrome I of lower limb, bilateral",NA,1,NA,NA,0,1,clinician,Neurodevelopment,NA,45586319,"Complex regional pain syndrome I of lower limb, bilateral",Condition,ICD10CM,6-char billing code,NA,G90.523,1970-01-01,2099-12-31,NA,1
Diseases of the Nervous System,NVS019,Nervous system pain and pain syndromes,Pain,G90529,Complex regional pain syndrome I of unspecified lower limb,NA,1,NA,NA,0,1,clinician,Neurodevelopment,NA,45581523,Complex regional pain syndrome I of unspecified lower limb,Condition,ICD10CM,6-char billing code,NA,G90.529,1970-01-01,2099-12-31,NA,1
Diseases of the Nervous System,NVS019,Nervous system pain and pain syndromes,Pain,G9059,Complex regional pain syndrome I of other specified site,NA,1,NA,NA,0,1,clinician,Neurodevelopment,NA,45571834,Complex regional pain syndrome I of other specified site,Condition,ICD10CM,5-char billing code,NA,G90.59,1970-01-01,2099-12-31,NA,1
Diseases of the Eye and Adnexa,EYE005,Retinal and vitreous conditions,Pain,H571,Ocular pain,NA,0,1,NA,1,0,clinician,Ophthalmological,NA,1568917,Ocular pain,Condition,ICD10CM,4-char nonbill code,NA,H57.1,2012-01-01,2099-12-31,NA,1
Diseases of the Circulatory System,CIR026,Peripheral and visceral vascular disease,Pain,I70221,"Atherosclerosis of native arteries of extremities with rest pain, right leg",NA,0,NA,1,0,1,agnostic,Cardiovascular,NA,45572117,"Atherosclerosis of native arteries of extremities with rest pain, right leg",Condition,ICD10CM,6-char billing code,NA,I70.221,1970-01-01,2099-12-31,NA,1
Diseases of the Circulatory System,CIR026,Peripheral and visceral vascular disease,Pain,I70222,"Atherosclerosis of native arteries of extremities with rest pain, left leg",NA,0,NA,1,0,1,agnostic,Cardiovascular,NA,45596233,"Atherosclerosis of native arteries of extremities with rest pain, left leg",Condition,ICD10CM,6-char billing code,NA,I70.222,1970-01-01,2099-12-31,NA,1
Diseases of the Circulatory System,CIR026,Peripheral and visceral vascular disease,Pain,I70223,"Atherosclerosis of native arteries of extremities with rest pain, bilateral legs",NA,0,NA,1,0,1,agnostic,Cardiovascular,NA,45596234,"Atherosclerosis of native arteries of extremities with rest pain, bilateral legs",Condition,ICD10CM,6-char billing code,NA,I70.223,1970-01-01,2099-12-31,NA,1
Diseases of the Circulatory System,CIR026,Peripheral and visceral vascular disease,Pain,I70228,"Atherosclerosis of native arteries of extremities with rest pain, other extremity",NA,0,NA,1,0,1,agnostic,Cardiovascular,NA,45581798,"Atherosclerosis of native arteries of extremities with rest pain, other extremity",Condition,ICD10CM,6-char billing code,NA,I70.228,1970-01-01,2099-12-31,NA,1
Diseases of the Circulatory System,CIR026,Peripheral and visceral vascular disease,Pain,I70229,"Atherosclerosis of native arteries of extremities with rest pain, unspecified extremity",NA,0,NA,1,0,1,agnostic,Cardiovascular,NA,45548056,"Atherosclerosis of native arteries of extremities with rest pain, unspecified extremity",Condition,ICD10CM,6-char billing code,NA,I70.229,1970-01-01,2099-12-31,NA,1
Diseases of the Circulatory System,CIR026,Peripheral and visceral vascular disease,Pain,I70321,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, right leg",NA,0,NA,1,0,1,agnostic,Cardiovascular,NA,45576903,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, right leg",Condition,ICD10CM,6-char billing code,NA,I70.321,1970-01-01,2099-12-31,NA,1
