concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
45562029,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances,Condition,ICD10,ICD10 Hierarchy,NA,F19,5/1/90,12/31/99,NA
45586225,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, acute intoxication",Condition,ICD10,ICD10 code,NA,F19.0,5/1/90,12/31/99,NA
45552462,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, amnesic syndrome",Condition,ICD10,ICD10 code,NA,F19.6,5/1/90,12/31/99,NA
45557189,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, dependence syndrome",Condition,ICD10,ICD10 code,NA,F19.2,5/1/90,12/31/99,NA
45552459,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",Condition,ICD10,ICD10 code,NA,F19.1,5/1/90,12/31/99,NA
45566824,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, other mental and behavioural disorders",Condition,ICD10,ICD10 code,NA,F19.8,5/1/90,12/31/99,NA
45605484,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, psychotic disorder",Condition,ICD10,ICD10 code,NA,F19.5,5/1/90,12/31/99,NA
45562035,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, residual and late-onset psychotic disorder",Condition,ICD10,ICD10 code,NA,F19.7,5/1/90,12/31/99,NA
45600732,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder",Condition,ICD10,ICD10 code,NA,F19.9,5/1/90,12/31/99,NA
45600731,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, withdrawal state",Condition,ICD10,ICD10 code,NA,F19.3,5/1/90,12/31/99,NA
45552461,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, withdrawal state with delirium",Condition,ICD10,ICD10 code,NA,F19.4,5/1/90,12/31/99,NA
40475057,Mental and behavioural disorders due to psychoactive substance use,Condition,ICD10,ICD10 SubChapter,NA,F10-F19,4/22/20,12/31/99,NA
45581401,Mental and behavioural disorders due to use of alcohol,Condition,ICD10,ICD10 Hierarchy,NA,F10,5/1/90,12/31/99,NA
45755372,"Mental and behavioural disorders due to use of alcohol, Acute intoxication",Condition,ICD10,ICD10 code,NA,F10.0,5/1/90,12/31/99,NA
45547673,"Mental and behavioural disorders due to use of alcohol, Amnesic syndrome",Condition,ICD10,ICD10 code,NA,F10.6,5/1/90,12/31/99,NA
45576496,"Mental and behavioural disorders due to use of alcohol, Dependence syndrome",Condition,ICD10,ICD10 code,NA,F10.2,5/1/90,12/31/99,NA
45595844,"Mental and behavioural disorders due to use of alcohol, Harmful use",Condition,ICD10,ICD10 code,NA,F10.1,5/1/90,12/31/99,NA
45581407,"Mental and behavioural disorders due to use of alcohol, Other mental and behavioural disorders",Condition,ICD10,ICD10 code,NA,F10.8,5/1/90,12/31/99,NA
45755373,"Mental and behavioural disorders due to use of alcohol, Psychotic disorder",Condition,ICD10,ICD10 code,NA,F10.5,5/1/90,12/31/99,NA
45547674,"Mental and behavioural disorders due to use of alcohol, Residual and late-onset psychotic disorder",Condition,ICD10,ICD10 code,NA,F10.7,5/1/90,12/31/99,NA
45557158,"Mental and behavioural disorders due to use of alcohol, Unspecified mental and behavioural disorder",Condition,ICD10,ICD10 code,NA,F10.9,5/1/90,12/31/99,NA
45542789,"Mental and behavioural disorders due to use of alcohol, Withdrawal state",Condition,ICD10,ICD10 code,NA,F10.3,5/1/90,12/31/99,NA
45586191,"Mental and behavioural disorders due to use of alcohol, Withdrawal state with delirium",Condition,ICD10,ICD10 code,NA,F10.4,5/1/90,12/31/99,NA
45571719,Mental and behavioural disorders due to use of cannabinoids,Condition,ICD10,ICD10 Hierarchy,NA,F12,5/1/90,12/31/99,NA
45581412,"Mental and behavioural disorders due to use of cannabinoids, acute intoxication",Condition,ICD10,ICD10 code,NA,F12.0,5/1/90,12/31/99,NA
45586202,"Mental and behavioural disorders due to use of cannabinoids, amnesic syndrome",Condition,ICD10,ICD10 code,NA,F12.6,5/1/90,12/31/99,NA
45566788,"Mental and behavioural disorders due to use of cannabinoids, dependence syndrome",Condition,ICD10,ICD10 code,NA,F12.2,5/1/90,12/31/99,NA
45557163,"Mental and behavioural disorders due to use of cannabinoids, harmful use",Condition,ICD10,ICD10 code,NA,F12.1,5/1/90,12/31/99,NA
45755374,"Mental and behavioural disorders due to use of cannabinoids, other mental and behavioural disorders",Condition,ICD10,ICD10 code,NA,F12.8,5/1/90,12/31/99,NA
45566790,"Mental and behavioural disorders due to use of cannabinoids, psychotic disorder",Condition,ICD10,ICD10 code,NA,F12.5,5/1/90,12/31/99,NA
45538016,"Mental and behavioural disorders due to use of cannabinoids, residual and late-onset psychotic disorder",Condition,ICD10,ICD10 code,NA,F12.7,5/1/90,12/31/99,NA
45538017,"Mental and behavioural disorders due to use of cannabinoids, unspecified mental and behavioural disorder",Condition,ICD10,ICD10 code,NA,F12.9,5/1/90,12/31/99,NA
45586201,"Mental and behavioural disorders due to use of cannabinoids, withdrawal state",Condition,ICD10,ICD10 code,NA,F12.3,5/1/90,12/31/99,NA
45600702,"Mental and behavioural disorders due to use of cannabinoids, withdrawal state with delirium",Condition,ICD10,ICD10 code,NA,F12.4,5/1/90,12/31/99,NA
45595869,Mental and behavioural disorders due to use of cocaine,Condition,ICD10,ICD10 Hierarchy,NA,F14,5/1/90,12/31/99,NA
45755379,"Mental and behavioural disorders due to use of cocaine, acute intoxication",Condition,ICD10,ICD10 code,NA,F14.0,5/1/90,12/31/99,NA
45566801,"Mental and behavioural disorders due to use of cocaine, amnesic syndrome",Condition,ICD10,ICD10 code,NA,F14.6,5/1/90,12/31/99,NA
45576509,"Mental and behavioural disorders due to use of cocaine, dependence syndrome",Condition,ICD10,ICD10 code,NA,F14.2,5/1/90,12/31/99,NA
45538028,"Mental and behavioural disorders due to use of cocaine, harmful use",Condition,ICD10,ICD10 code,NA,F14.1,5/1/90,12/31/99,NA
45581427,"Mental and behavioural disorders due to use of cocaine, other mental and behavioural disorders",Condition,ICD10,ICD10 code,NA,F14.8,5/1/90,12/31/99,NA
45591105,"Mental and behavioural disorders due to use of cocaine, psychotic disorder",Condition,ICD10,ICD10 code,NA,F14.5,5/1/90,12/31/99,NA
45581426,"Mental and behavioural disorders due to use of cocaine, residual and late-onset psychotic disorder",Condition,ICD10,ICD10 code,NA,F14.7,5/1/90,12/31/99,NA
45571729,"Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder",Condition,ICD10,ICD10 code,NA,F14.9,5/1/90,12/31/99,NA
45755380,"Mental and behavioural disorders due to use of cocaine, withdrawal state",Condition,ICD10,ICD10 code,NA,F14.3,5/1/90,12/31/99,NA
45533075,"Mental and behavioural disorders due to use of cocaine, withdrawal state with delirium",Condition,ICD10,ICD10 code,NA,F14.4,5/1/90,12/31/99,NA
45586215,Mental and behavioural disorders due to use of hallucinogens,Condition,ICD10,ICD10 Hierarchy,NA,F16,5/1/90,12/31/99,NA
45566807,"Mental and behavioural disorders due to use of hallucinogens, acute intoxication",Condition,ICD10,ICD10 code,NA,F16.0,5/1/90,12/31/99,NA
45571737,"Mental and behavioural disorders due to use of hallucinogens, amnesic syndrome",Condition,ICD10,ICD10 code,NA,F16.6,5/1/90,12/31/99,NA
45591112,"Mental and behavioural disorders due to use of hallucinogens, dependence syndrome",Condition,ICD10,ICD10 code,NA,F16.2,5/1/90,12/31/99,NA
45542815,"Mental and behavioural disorders due to use of hallucinogens, harmful use",Condition,ICD10,ICD10 code,NA,F16.1,5/1/90,12/31/99,NA
45542817,"Mental and behavioural disorders due to use of hallucinogens, other mental and behavioural disorders",Condition,ICD10,ICD10 code,NA,F16.8,5/1/90,12/31/99,NA
