concept_id,concept_name,vocabulary_id,concept_code
36244113,St. Joseph Aspirin Chewable Product,RxNorm,1295926
36244251,Bayer Aspirin Chewable Product,RxNorm,1295996
36245087,Motrin Chewable Product,RxNorm,1296120
36245864,BC Original Formula Oral Powder Product,RxNorm,1296554
36243412,Stanback Headache Powder Reformulated Jan 2011 Oral Powder Product,RxNorm,1297128
42800580,chlorpheniramine maleate 0.2 MG/ML / ibuprofen 20 MG/ML / pseudoephedrine hydrochloride 3 MG/ML Oral Suspension,RxNorm,1297369
42800591,chlorpheniramine maleate 2 MG / ibuprofen 200 MG / pseudoephedrine hydrochloride 30 MG Oral Tablet,RxNorm,1297390
42800824,ibuprofen 200 MG / pseudoephedrine hydrochloride 30 MG Oral Capsule,RxNorm,1299018
42800827,ibuprofen 200 MG / pseudoephedrine hydrochloride 30 MG Oral Tablet,RxNorm,1299021
42800849,ibuprofen 200 MG [Proprinal],RxNorm,1300263
42800854,ibuprofen Oral Tablet [Proprinal],RxNorm,1300264
42800848,ibuprofen 200 MG Oral Tablet [Proprinal],RxNorm,1300267
42873424,Arthriten Inflammatory Pain,RxNorm,1303154
42873425,acetaminophen 250 MG / aspirin 250 MG / caffeine 65 MG [Arthriten Inflammatory Pain],RxNorm,1303155
42873426,acetaminophen / aspirin / caffeine Oral Tablet [Arthriten Inflammatory Pain],RxNorm,1303156
36243636,Arthriten Inflammatory Pain Oral Product,RxNorm,1303157
36243637,Arthriten Inflammatory Pain Pill,RxNorm,1303158
42873633,acetaminophen 250 MG / aspirin 250 MG / caffeine 65 MG Oral Tablet [Arthriten Inflammatory Pain],RxNorm,1303159
42899146,ibuprofen 20 MG/ML / pseudoephedrine hydrochloride 3 MG/ML Oral Suspension,RxNorm,1310487
42898699,chlorpheniramine / ibuprofen / phenylephrine Oral Tablet,RxNorm,1310501
42898682,chlorpheniramine maleate 4 MG / ibuprofen 200 MG / phenylephrine hydrochloride 10 MG Oral Tablet,RxNorm,1310503
42900954,Bromo Seltzer Antacid Pain Reliever,RxNorm,1312950
36246714,Bromo Seltzer Antacid Pain Reliever Oral Product,RxNorm,1312954
36029539,aspirin / codeine,RxNorm,135095
42901493,Exaprin,RxNorm,1358848
42901494,acetaminophen 110 MG / aspirin 162 MG / caffeine 32.4 MG / salicylamide 152 MG [Exaprin],RxNorm,1358849
42901495,acetaminophen / aspirin / caffeine / salicylamide Oral Tablet [Exaprin],RxNorm,1358850
36246654,Exaprin Oral Product,RxNorm,1358851
36246655,Exaprin Pill,RxNorm,1358852
42902185,acetaminophen 110 MG / aspirin 162 MG / caffeine 32.4 MG / salicylamide 152 MG Oral Tablet [Exaprin],RxNorm,1358853
42901534,ibuprofen 200 MG [Ibutab],RxNorm,1359093
42901535,ibuprofen Oral Tablet [Ibutab],RxNorm,1359094
42902222,ibuprofen 200 MG Oral Tablet [Ibutab],RxNorm,1359097
42902224,diclofenac sodium 75 MG / misoprostol 0.2 MG Delayed Release Oral Tablet,RxNorm,1359105
42902225,diclofenac sodium 50 MG / misoprostol 0.2 MG Delayed Release Oral Tablet [Arthrotec],RxNorm,1359107
42902226,diclofenac sodium 75 MG / misoprostol 0.2 MG Delayed Release Oral Tablet [Arthrotec],RxNorm,1359109
42902438,ketorolac tromethamine 15 MG/ML Prefilled Syringe,RxNorm,1359551
42903070,ketorolac tromethamine 30 MG/ML Prefilled Syringe,RxNorm,1360183
43011491,Backaid IPF,RxNorm,1361397
43011492,acetaminophen 250 MG / aspirin 250 MG / caffeine 65 MG [Backaid IPF],RxNorm,1361398
43011493,acetaminophen / aspirin / caffeine Oral Tablet [Backaid IPF],RxNorm,1361399
36246755,Backaid IPF Oral Product,RxNorm,1361400
36246756,Backaid IPF Pill,RxNorm,1361401
43011827,acetaminophen 250 MG / aspirin 250 MG / caffeine 65 MG Oral Tablet [Backaid IPF],RxNorm,1361402
43011763,meloxicam 5 MG/ML [Loxicom],RxNorm,1364058
43011764,meloxicam Injectable Solution [Loxicom],RxNorm,1364059
43012139,meloxicam 5 MG/ML Injectable Solution [Loxicom],RxNorm,1364061
43012902,phenylbutazone 200 MG/ML [Equi-Bute],RxNorm,1365576
43012904,phenylbutazone Injectable Solution [Equi-Bute],RxNorm,1365577
43012900,phenylbutazone 200 MG/ML Injectable Solution [Equi-Bute],RxNorm,1365579
43012903,phenylbutazone 200 MG/ML [Equi-Phar],RxNorm,1365695
43012905,phenylbutazone Injectable Solution [Equi-Phar],RxNorm,1365696
43012901,phenylbutazone 200 MG/ML Injectable Solution [Equi-Phar],RxNorm,1365698
43012746,ketoprofen 100 MG/ML,RxNorm,1365880
43012430,12 HR naproxen sodium 220 MG / pseudoephedrine hydrochloride 120 MG Extended Release Oral Tablet,RxNorm,1367426
43012835,naproxen sodium 220 MG / pseudoephedrine hydrochloride 120 MG Extended Release Oral Tablet,RxNorm,1367429
43013785,phenylbutazone 1000 MG [Phenylbute],RxNorm,1369760
43013786,phenylbutazone Oral Tablet [Phenylbute],RxNorm,1369761
43013784,phenylbutazone 1000 MG Oral Tablet [Phenylbute],RxNorm,1369764
43013686,ibuprofen 200 MG / phenylephrine hydrochloride 10 MG Oral Tablet,RxNorm,1369775
43525479,Ascomp,RxNorm,1372693
1118084,celecoxib,RxNorm,140587
19032725,bufexamac 50 MG/ML Topical Cream,RxNorm,141854
1177481,ibuprofen 3 MG/ML Oral Suspension,RxNorm,141993
1177512,ibuprofen 0.05 MG/MG Topical Gel,RxNorm,141997
1177513,ibuprofen 50 MG/ML Topical Cream,RxNorm,141998
19011850,ibuprofen 0.05 MG/MG / menthol 0.03 MG/MG Topical Gel,RxNorm,142103
43532057,naproxen 250 MG / pseudoephedrine hydrochloride 60 MG Oral Capsule,RxNorm,1424649
43560001,aspirin 120 MG Chewable Tablet,RxNorm,1433630
44506493,meloxicam 1.5 MG/ML [Meloxidyl],RxNorm,1439978
44506494,meloxicam Oral Suspension [Meloxidyl],RxNorm,1439979
44506660,meloxicam 1.5 MG/ML Oral Suspension [Meloxidyl],RxNorm,1439982
44507528,diclofenac 18 MG,RxNorm,1442115
44507529,diclofenac 18 MG Oral Capsule,RxNorm,1442116
44507531,diclofenac 18 MG [Zorvolex],RxNorm,1442118
44507536,diclofenac Oral Capsule [Zorvolex],RxNorm,1442119
44507530,diclofenac 18 MG Oral Capsule [Zorvolex],RxNorm,1442122
44507532,diclofenac 35 MG,RxNorm,1442127
44507533,diclofenac 35 MG Oral Capsule,RxNorm,1442128
44507535,diclofenac 35 MG [Zorvolex],RxNorm,1442129
44507534,diclofenac 35 MG Oral Capsule [Zorvolex],RxNorm,1442130
44507671,meloxicam 5 MG/ML [Ostilox],RxNorm,1482671
44507672,meloxicam Injectable Solution [Ostilox],RxNorm,1482672
44507670,meloxicam 5 MG/ML Injectable Solution [Ostilox],RxNorm,1482674
44785202,diclofenac sodium 20 MG/ML,RxNorm,1487073
44785203,diclofenac sodium 20 MG/ML Topical Solution,RxNorm,1487074
44785205,diclofenac sodium 20 MG/ML [Pennsaid],RxNorm,1487075
44785204,diclofenac sodium 20 MG/ML Topical Solution [Pennsaid],RxNorm,1487076
44785738,phenylbutazone 1000 MG [Vetribute],RxNorm,1487275
44785739,phenylbutazone Oral Tablet [Vetribute],RxNorm,1487276
44785737,phenylbutazone 1000 MG Oral Tablet [Vetribute],RxNorm,1487279
44785696,ketoprofen 0.05 MG/MG,RxNorm,1488712
44814309,indomethacin 20 MG Oral Capsule,RxNorm,1490727
44814311,indomethacin 20 MG [Tivorbex],RxNorm,1491523
44814316,indomethacin Oral Capsule [Tivorbex],RxNorm,1491524
44814310,indomethacin 20 MG Oral Capsule [Tivorbex],RxNorm,1491527
44814312,indomethacin 40 MG,RxNorm,1491528
44814313,indomethacin 40 MG Oral Capsule,RxNorm,1491529
44814315,indomethacin 40 MG [Tivorbex],RxNorm,1491530
44814314,indomethacin 40 MG Oral Capsule [Tivorbex],RxNorm,1491531
44815865,meloxicam 5 MG/ML [Eloxiject],RxNorm,1495052
44815866,meloxicam Injectable Solution [Eloxiject],RxNorm,1495053
44816218,meloxicam 5 MG/ML Injectable Solution [Eloxiject],RxNorm,1495055
