concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,partition_0
45318436,naltrexone hydrochloride 50 MG Oral Tablet,Drug,NDC,11-digit NDC,,00555090201,2014-01-01,2020-08-01,D,1
42949482,Naltrexone 50 MG Oral Tablet [TRAXONE],Drug,RxNorm Extension,Branded Drug,S,OMOP4676066,2018-08-21,2099-12-31,,1
41411148,0.6 ML methylnaltrexone 20 MG/ML Injection [Relistor] Box of 1 by TMC,Drug,RxNorm Extension,Marketed Product,S,OMOP2609110,2017-08-24,2099-12-31,,1
42881595,naltrexone hydrochloride 50mg/1 ORAL TABLET. FILM COATED,Drug,SPL,Prescription Drug,C,5823cedf-6a36-48c4-8c53-b4f882ae25f9,2012-01-18,2099-12-31,,1
45404988,Naltrexone,Drug,GPI,GPI,,9340003000,1970-01-01,2015-05-05,D,1
40228624,MORPHINE SO4 50MG/NALTREXONE HCL 2MG CAP.SA,Drug,VANDF,Drug Product,,4029088,1970-01-01,2099-12-31,,1
21199727,Naltrexone 50mg tablets,Drug,dm+d,VMP,,323281004,1970-01-01,2099-12-31,,1
21184508,Naltrexone 1mg capsules,Drug,dm+d,AMP,,16015211000001101,1970-01-01,2099-12-31,,1
45796147,naltrexone hydrochloride 50mg/1 ORAL TABLET. FILM COATED [revia],Drug,SPL,Prescription Drug,C,ae904573-9e40-4533-bca3-9983a85368cc,2003-07-18,2099-12-31,,1
45727271,METHYLNALTREXONE BROMIDE 8 mg/0.4 mL SUB-Q SYRINGE (ML),Drug,GCN_SEQNO,GCN_SEQNO,,068483,2013-11-04,2099-12-31,,1
45120644,NALTREXONE HCL POWDER,Drug,NDC,11-digit NDC,,51552073701,2013-08-05,2099-12-31,,1
37141385,naltrexone hydrochloride 50mg/1 ORAL TABLET. FILM COATED,Drug,SPL,Prescription Drug,C,0e9921e5-8ee7-5fe0-e063-6294a90a8765,2015-03-26,2099-12-31,,1
41410445,0.6 ML methylnaltrexone 20 MG/ML Injection [Relistor] Box of 7,Drug,RxNorm Extension,Quant Branded Box,S,OMOP2608407,2017-08-24,2099-12-31,,1
37507286,naltrexone hydrochloride 50mg/1 ORAL TABLET. FILM COATED,Drug,SPL,Prescription Drug,C,a6166c5f-a254-65ba-e053-2a95a90aad4b,2020-05-01,2099-12-31,,1
45047744,naltrexone hydrochloride 50 mg/1 TABLET. FILM COATED [NALTREXONE HYDROCHLORIDE],Drug,NDC,9-digit NDC,,068084291,2013-08-05,2099-12-31,,1
42949487,Naltrexone 50 MG [TRAXONE],Drug,RxNorm Extension,Branded Drug Comp,S,OMOP4676070,2018-08-21,2099-12-31,,1
45727270,METHYLNALTREXONE BROMIDE 12 mg/0.6 mL SUB-Q SYRINGE (ML),Drug,GCN_SEQNO,GCN_SEQNO,,068482,2013-11-04,2099-12-31,,1
43821137,Naltrexone 50 MG Oral Tablet [Naltrexon-Hcl Neuraxpharm] by Neuraxpharm,Drug,RxNorm Extension,Marketed Product,S,OMOP675749,2017-08-24,2099-12-31,,1
35770428,Naltrexone Delayed Release Oral Tablet [Opizone],Drug,RxNorm Extension,Branded Drug Form,S,OMOP2771889,2017-08-24,2099-12-31,,1
